timestamp,count,uniques
2024-01-24,6,6
2024-01-25,3,3
2024-01-26,1,1
2024-01-29,1,1
2024-02-06,1,1
2024-02-21,2,2
2024-02-23,7,7
2024-02-26,1,1
2024-02-29,1,1
2024-03-01,2,1
2024-03-18,2,1
2024-03-28,1,1
2024-03-29,21,9
2024-04-12,2,2
2024-05-02,6,1
2024-05-05,1,1
2024-05-06,2,2
2024-05-07,2,1
2024-05-08,2,1
2024-05-30,4,2
2024-05-31,1,1
2024-06-14,2,2
2024-06-30,1,1
2024-07-26,1,1
2024-07-31,1,1
2024-08-11,1,1
2024-08-27,1,1
2024-10-15,1,1
2024-12-05,1,1
2024-12-11,1,1
2025-01-10,1,1
2025-01-31,1,1
2025-02-15,1,1
2025-03-06,1,1
2025-03-09,1,1
2025-03-25,1,1
2025-04-01,4,4
2025-04-14,1,1
